step,tokens_seen,train_loss,val_ppl,tps,vram_mb
50,204800,80.4002,N/A,503.02,0.00
50,204800,68.1176,N/A,73332.89,745.56
100,409600,11.7188,N/A,62274.59,745.56
150,614400,7.3555,N/A,71531.88,745.56
200,819200,5.7904,N/A,71679.45,745.56
250,1024000,5.2258,N/A,72276.25,745.56
300,1228800,4.7291,N/A,72965.40,745.56
350,1433600,4.5515,N/A,71846.38,745.56
400,1638400,4.3787,N/A,71747.71,745.56
450,1843200,4.3326,N/A,57129.34,745.56
489,2002944,4.2259,77.9009,71689.73,745.56
500,2048000,3.7879,N/A,72002.02,745.56
550,2252800,4.1178,N/A,59655.61,745.56
600,2457600,3.8792,N/A,68083.00,745.56
650,2662400,4.2557,N/A,71007.60,745.56
700,2867200,3.7504,N/A,70371.82,745.56
750,3072000,3.7566,N/A,70999.76,745.56
800,3276800,3.6640,N/A,70776.65,745.56
850,3481600,3.9118,N/A,72259.52,745.56
900,3686400,3.6940,N/A,50931.37,745.56
950,3891200,3.6303,N/A,70128.30,745.56
978,4005888,3.7112,40.4076,68657.41,745.56
1000,4096000,3.3136,N/A,59210.14,745.56
1050,4300800,3.4830,N/A,70559.14,745.56
1100,4505600,3.6392,N/A,71436.26,745.56
1150,4710400,3.5426,N/A,68825.35,745.56
1200,4915200,3.5666,N/A,68975.03,745.56
1250,5120000,3.4267,N/A,69589.23,745.56
1300,5324800,3.5752,N/A,68989.31,745.56
1350,5529600,3.5167,N/A,51215.24,745.56
1400,5734400,3.3278,N/A,66790.09,745.56
1450,5939200,3.6018,N/A,68584.75,745.56
1467,6008832,3.2397,34.1701,68624.87,745.56
1500,6144000,3.3299,N/A,68839.71,745.56
1550,6348800,3.2206,N/A,65060.55,745.56
1600,6553600,3.1041,N/A,60451.19,745.56
1650,6758400,3.2065,N/A,68149.85,745.56
1700,6963200,3.4555,N/A,67763.73,745.56
1750,7168000,3.2162,N/A,66840.45,745.56
1800,7372800,3.2846,N/A,66721.96,745.56
1850,7577600,3.1434,N/A,68810.21,745.56
1900,7782400,3.3839,N/A,68173.30,745.56
1950,7987200,3.3066,N/A,53432.41,745.56
1956,8011776,3.2382,25.5314,68747.42,745.56
2000,8192000,3.1106,N/A,69698.55,745.56
2050,8396800,3.1587,N/A,56258.79,745.56
2100,8601600,3.2556,N/A,69043.79,745.56
2150,8806400,2.9524,N/A,66297.30,745.56
2200,9011200,3.3323,N/A,58448.61,745.56
2250,9216000,3.2439,N/A,69072.06,745.56
2300,9420800,3.0923,N/A,68742.55,745.56
2350,9625600,3.2262,N/A,68939.52,745.56
2400,9830400,3.1387,N/A,67586.15,745.56
2445,10014720,3.1486,22.5561,66807.97,745.56
2450,10035200,3.1122,N/A,68422.85,745.56
2500,10240000,3.3345,N/A,67661.54,745.56
2550,10444800,3.0274,N/A,70005.95,745.56
2600,10649600,3.1915,N/A,67474.11,745.56
2650,10854400,2.9209,N/A,58395.01,745.56
2700,11059200,3.2073,N/A,69013.04,745.56
2750,11264000,3.1489,N/A,67150.15,745.56
2800,11468800,2.9556,N/A,52228.59,745.56
2850,11673600,3.1141,N/A,68064.04,745.56
2900,11878400,2.9777,N/A,59809.96,745.56
2934,12017664,2.7538,21.3265,68681.32,745.56
2950,12083200,2.9473,N/A,69391.44,745.56
3000,12288000,3.0563,N/A,67840.37,745.56
3050,12492800,3.1179,N/A,69401.07,745.56
3100,12697600,2.9703,N/A,67906.06,745.56
3150,12902400,2.7436,N/A,69349.03,745.56
3200,13107200,3.0745,N/A,68548.76,745.56
3250,13312000,3.1146,N/A,56787.33,745.56
3300,13516800,2.8491,N/A,68791.65,745.56
3350,13721600,3.0568,N/A,68346.64,745.56
3400,13926400,3.1392,N/A,69696.85,745.56
3423,14020608,2.9327,21.0925,61102.66,745.56
3450,14131200,3.0795,N/A,69103.99,745.56
3500,14336000,3.0901,N/A,68566.13,745.56
3550,14540800,2.9880,N/A,68681.28,745.56
3600,14745600,2.7179,N/A,67478.20,745.56
3650,14950400,2.9958,N/A,67585.83,745.56
3700,15155200,2.8641,N/A,49346.53,745.56
3750,15360000,2.9027,N/A,64147.31,745.56
3800,15564800,2.7905,N/A,66591.20,745.56
3850,15769600,2.8398,N/A,60333.45,745.56
3900,15974400,2.9190,N/A,69880.63,745.56
3912,16023552,2.6335,18.1532,69682.46,745.56
3950,16179200,2.9737,N/A,57308.23,745.56
4000,16384000,3.0048,N/A,67930.17,745.56
4050,16588800,2.9106,N/A,70422.26,745.56
4100,16793600,2.7552,N/A,70483.61,745.56
4150,16998400,2.9291,N/A,70158.21,745.56
4200,17203200,2.9220,N/A,70637.14,745.56
4250,17408000,2.9735,N/A,69892.19,745.56
4300,17612800,2.8952,N/A,64298.34,745.56
4350,17817600,2.8715,N/A,69599.83,745.56
4400,18022400,2.7438,N/A,68919.96,745.56
4401,18026496,2.6594,16.9706,70593.39,745.56
4450,18227200,2.5819,N/A,70187.75,745.56
4500,18432000,2.9446,N/A,70506.98,745.56
4550,18636800,2.9157,N/A,69653.46,745.56
4600,18841600,2.7899,N/A,61782.03,745.56
4650,19046400,3.0026,N/A,70233.73,745.56
4700,19251200,2.7910,N/A,69354.14,745.56
4750,19456000,2.8883,N/A,62361.63,745.56
4800,19660800,2.6125,N/A,55266.94,745.56
4850,19865600,2.8430,N/A,68023.05,745.56
4890,20029440,2.5618,16.0768,66562.97,745.56
4900,20070400,2.4637,N/A,65517.42,745.56
4950,20275200,2.6125,N/A,69617.17,745.56
5000,20480000,2.8148,16.0109,63155.45,745.56
